Contagem,Ano,Título,Gênero,País,Nacionalidade,Distribuidora,Origem_distribuidora,Público_exibição,Renda
2577,2016,O Desejo da Minha Alma,Ficção,Japão,Estrangeira,Supo Mungam Films,Distribuição Nacional,43.0,200.0
2578,2016,O diabo mora aqui,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,1055.0,18558.64
2579,2016,O diário de uma camareira,Ficção,França,Estrangeira,Alphaville Filmes,Distribuição Nacional,34.0,476.0
2580,2016,O Dono do Jogo,Ficção,Estados Unidos,Estrangeira,Playarte,Distribuição Nacional,37135.0,746539.56
2581,2016,O Décimo Homem,Ficção,Argentina,Estrangeira,Paris,Distribuição Nacional,13983.0,223839.26
2582,2016,O Escaravelho do Diabo,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,82634.0,1024437.54
2583,2016,O Filho de Saul,Ficção,"Estados Unidos, França, Hungria, Israel",Estrangeira,Sony,Distribuição Internacional,53098.0,776370.43
2584,2016,O Filho Eterno,Ficção,Brasil,Brasileira,Sony,Distribuição Internacional,21794.0,346404.76
2585,2016,O Fim e os Meios,Ficção,Brasil,Brasileira,Nossa Distribuidora,Distribuição Nacional,459.0,2504.0
2586,2016,O Fio de Ariane,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,3961.0,56854.81
2587,2016,O Futebol,Documentário,"Brasil, Espanha",Estrangeira,Vitrine Filmes,Distribuição Nacional,553.0,6830.0
2588,2016,O Gigantesco Imã,Documentário,Brasil,Brasileira,Inquieta Cinema Cultura e Comunicação,Distribuição Nacional,390.0,2776.0
2589,2016,O Grande Hotel Budapeste,Ficção,"Alemanha, Estados Unidos, Reino Unido",Estrangeira,Fox,Distribuição Internacional,36.0,338.0
2590,2016,O Grande Mestre,Ficção,"China, Hong Kong",Estrangeira,Califórnia,Distribuição Nacional,58.0,408.0
2591,2016,O Homem das Multidões,Ficção,Brasil,Brasileira,Espaço Filmes,Distribuição Nacional,85.0,484.0
2592,2016,O Homem nas Trevas,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,770587.0,10154033.55
2593,2016,O homem que viu o infinito,Ficção,Reino Unido,Estrangeira,Diamond Films,Distribuição Nacional,23479.0,402239.88
2594,2016,O Ignorante,Ficção,França,Estrangeira,Supo Mungam Films,Distribuição Nacional,2315.0,31603.56
2595,2016,O Jovem Messias,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,41256.0,544268.69
2596,2016,O julgamento de Viviane Amsalem,Ficção,Israel,Estrangeira,Imovision,Distribuição Nacional,20.0,436.92
2597,2016,O Lamento,Ficção,Coréia do Sul,Estrangeira,Califórnia,Distribuição Nacional,497.0,8072.66
2598,2016,O Lar das Crianças Peculiares,Ficção,"Bélgica, Estados Unidos, Reino Unido",Estrangeira,Fox,Distribuição Internacional,2181772.0,32916297.0
2599,2016,O Lobo do Deserto,Ficção,"Emirados Árabes Unidos, Jordânia, Qatar, Reino Unido",Estrangeira,Paris,Distribuição Nacional,8915.0,121440.53
2600,2016,O Maior Amor do Mundo,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,176083.0,3032533.45
2601,2016,O Menino e o Mundo,Animação,Brasil,Brasileira,Espaço Filmes,Distribuição Nacional,26163.0,293092.42
2602,2016,O Mestre dos Gênios,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Diamond Films,Distribuição Nacional,24737.0,422643.08
2603,2016,O Mestre e o Divino,Documentário,Brasil,Brasileira,Livres Filmes,Distribuição Nacional,728.0,7703.95
2604,2016,O Monstro de Mil Cabeças,Ficção,México,Estrangeira,Alpha Filmes,Distribuição Nacional,1058.0,16165.61
2605,2016,O Mordomo de Preto,Ficção,Japão,Estrangeira,Sato Company,Distribuição Nacional,328.0,3559.04
2606,2016,O Nascimento de uma Nação,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,5531.0,104482.0
2607,2016,O novíssimo testamento,Ficção,"Bélgica, França, Luxemburgo",Estrangeira,Imovision,Distribuição Nacional,20275.0,319446.91
2608,2016,O Outro Lado do Paraíso,Ficção,Brasil,Brasileira,Europa,Distribuição Nacional,7331.0,94102.19
2609,2016,O Pequeno Príncipe,Animação,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,7279.0,50812.4
2610,2016,O Plano de Maggie,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,12916.0,221476.8
2611,2016,O Poderoso Chefão,Ficção,Estados Unidos,Estrangeira,Cinemark Brasil,Distribuição Nacional,3692.0,37326.5
2612,2016,O Presente,Ficção,Estados Unidos,Estrangeira,Playarte,Distribuição Nacional,629.0,10410.26
2613,2016,O Presidente,Ficção,"Alemanha, França, Geórgia, Reino Unido",Estrangeira,Califórnia,Distribuição Nacional,3911.0,54321.82
2614,2016,O Preço da Fama,Ficção,França,Estrangeira,Alphaville Filmes,Distribuição Nacional,343.0,3188.5
2615,2016,O Quarto de Jack,Ficção,"Canadá, Irlanda",Estrangeira,Universal,Distribuição Internacional,266916.0,4638528.52
2616,2016,O Quarto dos Esquecidos,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,108763.0,1388868.17
2617,2016,O que está por vir,Ficção,"Alemanha, França",Estrangeira,Zeta Filmes,Distribuição Nacional,10988.0,160541.1
2618,2016,O que eu fiz para merecer isso?,Ficção,França,Estrangeira,Alphaville Filmes,Distribuição Nacional,10783.0,154503.03
2619,2016,O que Será de Nozes?,Animação,"Canadá, Coréia do Sul, Estados Unidos",Estrangeira,Playarte,Distribuição Nacional,85.0,576.0
2620,2016,O Regresso,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,2645471.0,40213897.02
2621,2016,O Reino Gelado 2,Animação,Rússia,Estrangeira,Califórnia,Distribuição Nacional,1041.0,5739.9
2622,2016,O Roubo da Taça,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,30209.0,397360.64
2623,2016,O Sal da Terra,Documentário,"Brasil, França, Itália",Estrangeira,Imovision,Distribuição Nacional,48.0,451.0
2624,2016,O Shaolin do Sertão,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,610730.0,7973865.72
2625,2016,O Signo das Tetas,Ficção,Brasil,Brasileira,Lume Produções Cinematográficas,Distribuição Nacional,373.0,4125.65
2626,2016,O Silêncio do Céu,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,11130.0,141575.59
2627,2016,O Silêncio dos Inocentes,Ficção,Estados Unidos,Estrangeira,Cinemark Brasil,Distribuição Nacional,2499.0,24550.5
2628,2016,O Som ao Redor,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,593.0,5538.0
2629,2016,O sono da morte,Ficção,Estados Unidos,Estrangeira,Playarte,Distribuição Nacional,114620.0,1507807.07
2630,2016,O Sétimo Selo,Ficção,Suécia,Estrangeira,F. J. Cines,Distribuição Nacional,116.0,822.0
2631,2016,O Tesouro,Ficção,"França, Romênia",Estrangeira,Zeta Filmes,Distribuição Nacional,2997.0,40452.79
2632,2016,O Touro,Documentário,Brasil,Brasileira,Cazumbá Filmes,Distribuição Nacional,247.0,2635.08
2633,2016,O Vale do Amor,Ficção,"Bélgica, França",Estrangeira,Imovision,Distribuição Nacional,14082.0,204936.43
2634,2016,O Valor de um Homem,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,12769.0,217770.27
2635,2016,O Vendedor de Sonhos,Ficção,Brasil,Brasileira,Warner,Distribuição Internacional,641684.0,8718355.0
2636,2016,O Vinho Perfeito,Ficção,Itália,Estrangeira,Tucumán,Distribuição Nacional,165.0,1467.0
2637,2016,O Ídolo,Ficção,"Emirados Árabes Unidos, Territórios Palestinos Ocupados",Estrangeira,Califórnia,Distribuição Nacional,6.0,88.75
2638,2016,O Último Caçador de Bruxas,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,4429.0,73926.11
2639,2016,O Último Cine Drive-In,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,521.0,7678.0
2640,2016,O Último Poema,Documentário,Brasil,Brasileira,Lança Filmes,Distribuição Nacional,146.0,1203.0
2641,2016,O Último Poema do Rinoceronte,Ficção,"Irã, Iraque, Turquia",Estrangeira,Imovision,Distribuição Nacional,238.0,2321.0
2642,2016,O Último Tango,Documentário,"Alemanha, Argentina",Estrangeira,Imovision,Distribuição Nacional,13561.0,209451.59
2643,2016,O Último Virgem,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,126841.0,1587433.36
2644,2016,Olho Nu,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,217.0,1908.0
2645,2016,Olhos da justiça,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,2355.0,31346.33
2646,2016,Olmo e a Gaivota,Documentário,"Brasil, Dinamarca, França, Portugal, Suécia",Estrangeira,Pandora Filmes,Distribuição Nacional,1975.0,21083.15
2647,2016,Olympia 2016,Ficção,Brasil,Brasileira,Fênix Filmes,Distribuição Nacional,578.0,8598.65
2648,2016,Onde o Mar Descansa,Ficção,Reino Unido,Estrangeira,Maverick,Distribuição Nacional,1141.0,16942.56
2649,2016,Operação Big Hero,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,964.0,9581.0
2650,2016,Oração do amor selvagem,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,122.0,662.0
2651,2016,Orestes,Documentário,Brasil,Brasileira,7Estrelo Filmes,Distribuição Nacional,69.0,321.75
2652,2016,Orgulho e Preconceito e Zumbis,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Sony,Distribuição Internacional,32433.0,401525.61
2653,2016,Os Anarquistas,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,14356.0,213145.82
2654,2016,Os Belos Dias de Aranjuez,Ficção,"Alemanha, França",Estrangeira,Imovision,Distribuição Nacional,46.0,545.22
2655,2016,Os campos voltarão,Ficção,Itália,Estrangeira,Filmes da Mostra,Distribuição Nacional,1775.0,18234.1
2656,2016,Os Cavaleiros Brancos,Ficção,"Bélgica, França",Estrangeira,Imovision,Distribuição Nacional,1611.0,25131.36
2657,2016,Os Caça-noivas,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,105985.0,1512501.0
2658,2016,Os Dez Mandamentos - O Filme,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,11305479.0,116833026.88
2659,2016,Os Incríveis,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,873.0,8923.0
2660,2016,Os Inimigos da Dor,Ficção,"Uruguai, Brasil",Brasileira,Primo Filmes,Distribuição Nacional,312.0,3913.0
2661,2016,Os oito odiados,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,561784.0,8884619.67
2662,2016,Os Outros,Documentário,Brasil,Brasileira,Cineluz Produções,Distribuição Nacional,592.0,7139.27
2663,2016,Os Senhores da Guerra,Ficção,Brasil,Brasileira,Walper Ruas,Distribuição Nacional,5197.0,66005.52
2664,2016,Os Sonhos de um Sonhador - A História de Frank Aguiar,Ficção,Brasil,Brasileira,Elite Filmes,Distribuição Nacional,567.0,6306.56
2665,2016,Os Tubarões de Copacabana,Ficção,Brasil,Brasileira,Internacional Produções de Cinema e Vídeo,Distribuição Nacional,36.0,520.64
2666,2016,Os Árabes Também Dançam,Ficção,"Alemanha, França, Israel",Estrangeira,Imovision,Distribuição Nacional,156.0,1602.0
2667,2016,Osvaldão,Documentário,Brasil,Brasileira,Fundação Maurício Grabois,Distribuição Nacional,182.0,2042.26
2668,2016,Ouija: Origem do Mal,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,452275.0,5828111.92
2669,2016,Pablo Picasso e o Roubo da Monalisa,Ficção,Espanha,Estrangeira,Esfera Produções,Distribuição Nacional,889.0,8131.0
2670,2016,Pai em Dose Dupla,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,627732.0,7970231.0
2671,2016,Pais e Filhas,Ficção,"Estados Unidos, Itália",Estrangeira,Califórnia,Distribuição Nacional,14542.0,294795.94
2672,2016,"Palmeiras, o Campeão do Século",Documentário,Brasil,Brasileira,Conexão Cultural,Distribuição Nacional,5336.0,76393.14
2673,2016,Papéis ao Vento,Ficção,Argentina,Estrangeira,Lança Filmes,Distribuição Nacional,875.0,9845.01
2674,2016,Para Minha Amada Morta,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,7132.0,89542.63
2675,2016,Para o Outro Lado,Ficção,Japão,Estrangeira,Califórnia,Distribuição Nacional,844.0,12555.17
2676,2016,Para Sempre (2016),Ficção,Estados Unidos,Estrangeira,Cazion Films Brasil,Distribuição Nacional,13042.0,184275.65
2677,2016,Paratodos,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,3146.0,38233.51
2678,2016,Paris-Manhattan,Ficção,França,Estrangeira,Alphaville Filmes,Distribuição Nacional,60.0,176.0
2679,2016,Pasolini,Ficção,"Bélgica, França, Itália",Estrangeira,Imovision,Distribuição Nacional,65.0,476.0
2680,2016,Passageiros (2017),Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,63617.0,1215330.9
2681,2016,Paulina,Ficção,"Argentina, Brasil",Brasileira,Esfera Produções,Distribuição Nacional,15324.0,209170.77
2682,2016,Pauê – O Passo de um Vencedor,Documentário,Brasil,Brasileira,Raiz Distribuidora,Distribuição Nacional,132.0,854.0
2683,2016,Paz para Nós em Nossos Sonhos,Ficção,"França, Lituânia, Rússia",Estrangeira,Supo Mungam Films,Distribuição Nacional,1013.0,16512.25
2684,2016,"Pecados antigos, longas sombras",Ficção,Espanha,Estrangeira,Alpha Filmes,Distribuição Nacional,484.0,5187.23
2685,2016,Pegando Fogo,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,8105.0,168716.3
2686,2016,Pelo Malo,Ficção,Venezuela,Estrangeira,Esfera Produções,Distribuição Nacional,279.0,1070.0
2687,2016,Peppa Pig - As Botas de Ouro e Outras Histórias,Animação,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,126252.0,1529253.0
2688,2016,Pequeno Segredo,Ficção,Brasil,Brasileira,Diamond Films,Distribuição Nacional,187015.0,2801546.6
2689,2016,Perdido em Marte,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,1849.0,11349.0
2690,2016,Perfeita é a mãe!,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,80781.0,1202800.17
2691,2016,Peter Pan,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,695.0,4431.0
2692,2016,Pets - A vida secreta dos bichos,Animação,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,4415952.0,62073986.57
2693,2016,Piadeiros,Documentário,Brasil,Brasileira,Espaço Filmes,Distribuição Nacional,53.0,213.0
2694,2016,Pixels,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,77.0,450.45
2695,2016,Poltergeist - O Fenômeno,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,243.0,1611.0
2696,2016,Ponho a Mão no Fogo,Ficção,Brasil,Brasileira,2A Produções,Distribuição Nacional,59.0,320.0
2697,2016,Ponte dos Espiões,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,1477.0,47670.15
2698,2016,Ponto Zero,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,8247.0,115856.26
2699,2016,Por um Punhado de Dólares - Os Novos Emigrados,Documentário,"Brasil, Alemanha",Brasileira,Telenews,Distribuição Nacional,47.0,270.0
2700,2016,Porta dos Fundos - Contrato Vitalício,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,454569.0,6208337.13
2701,2016,Precisamos falar do assédio,Documentário,Brasil,Brasileira,Mira Filmes,Distribuição Nacional,241.0,2042.63
2702,2016,Prenda-me,Ficção,França,Estrangeira,Esfera Produções,Distribuição Nacional,85.0,731.0
2703,2016,Presságios de um Crime,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,66251.0,1106994.86
2704,2016,Procurando Dory,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,8189410.0,113497532.0
2705,2016,Procurando Nemo,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,2457.0,23083.0
2706,2016,Prova de Coragem,Ficção,"Brasil, Uruguai",Brasileira,Europa/Vinny Filmes,Distribuição Nacional,12147.0,167481.2
2707,2016,Quando as luzes se apagam,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,823195.0,10784162.0
2708,2016,Quando Meus Pais Não estão em Casa,Ficção,Cingapura,Estrangeira,Esfera Produções,Distribuição Nacional,236.0,1977.0
2709,2016,Quando o dia chegar,Ficção,Dinamarca,Estrangeira,Califórnia,Distribuição Nacional,1101.0,13702.46
2710,2016,Quanto Tempo o Tempo Tem,Documentário,Brasil,Brasileira,Infinito Produções,Distribuição Nacional,5955.0,82195.08
2711,2016,Quarteto fantástico,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,55.0,347.5
2712,2016,Quarto de guerra,Ficção,Estados Unidos,Estrangeira,Cazion Films Brasil,Distribuição Nacional,210426.0,2942514.63
2713,2016,Que Estranho Chamar-se Federico,Ficção,Itália,Estrangeira,Imovision,Distribuição Nacional,166.0,3202.13
2714,2016,Que horas ela volta?,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,546.0,4842.99
2715,2016,Que viva Eisenstein! 10 dias que abalaram o México,Ficção,"Bélgica, Finlândia, França, Holanda, México",Estrangeira,Esfera Produções,Distribuição Nacional,2535.0,31310.02
2716,2016,Quem você quer ser nessa história,Documentário,Brasil,Brasileira,Sant'Ana Filmes,Distribuição Nacional,230.0,2775.64
2717,2016,Rainha de Katwe,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,4805.0,80109.0
2718,2016,Ralé,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,2189.0,25007.0
2719,2016,Raça (2016),Ficção,"Alemanha, Canadá",Estrangeira,Diamond Films,Distribuição Nacional,3147.0,48377.22
2720,2016,Redemoinho,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,500.0,5815.4
2721,2016,Relacionamento à Francesa,Ficção,França,Estrangeira,Tucumán,Distribuição Nacional,378.0,4805.22
2722,2016,Relatos Selvagens,Ficção,"Argentina, Espanha",Estrangeira,Warner,Distribuição Internacional,1772.0,26144.0
2723,2016,Ressurreição,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,222875.0,2984467.78
2724,2016,Reza a Lenda,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,377670.0,4979716.42
2725,2016,Rio 2,Animação,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,299.0,1166.0
2726,2016,Rio Cigano,Ficção,Brasil,Brasileira,Raiz Distribuidora,Distribuição Nacional,280.0,1933.0
2727,2016,Rocco e Seus Irmãos,Ficção,"França, Itália",Estrangeira,Filmes da Mostra,Distribuição Nacional,1217.0,11396.5
2728,2016,Rock em Cabul,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,4137.0,67833.71
2729,2016,Rogue One: Uma História Star Wars,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,2607958.0,43774724.0
2730,2016,Romance à Francesa,Ficção,França,Estrangeira,Alphaville Filmes,Distribuição Nacional,10526.0,148684.82
2731,2016,"Rondon, o desbravador",Ficção,Brasil,Brasileira,Europa,Distribuição Nacional,2321.0,23670.4
2732,2016,Roteiro de Casamento,Ficção,Argentina,Estrangeira,Paris,Distribuição Nacional,8992.0,144960.23
2733,2016,"Rua Cloverfield, 10",Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,324289.0,4564201.0
2734,2016,Ruth & Alex,Ficção,Estados Unidos,Estrangeira,Alphaville Filmes,Distribuição Nacional,130.0,1139.0
2735,2016,S.O.S Mulheres ao mar 2,Ficção,Brasil,Brasileira,Universal/Europa/Elo Company,Codistribuição Internacional-Nacional,1240.0,11006.35
2736,2016,Sabor da Vida,Ficção,"Alemanha, França, Japão",Estrangeira,Califórnia,Distribuição Nacional,5968.0,81862.46
2737,2016,Samba & Jazz,Documentário,Brasil,Brasileira,Tremè Produções,Distribuição Nacional,517.0,4836.01
2738,2016,Sangue do meu Sangue,Ficção,"França, Itália, Suíça",Estrangeira,Fênix Filmes,Distribuição Nacional,6608.0,90213.37
2739,2016,Sangue Ruim,Ficção,França,Estrangeira,Pandora Filmes,Distribuição Nacional,78.0,656.0
2740,2016,Satânico,Ficção,Estados Unidos,Estrangeira,Fênix Filmes,Distribuição Nacional,8087.0,83635.34
2741,2016,Se Deus Vier que Venha Armado,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,57.0,417.0
2742,2016,Sejam muito bem-vindos,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,74.0,432.0
2743,2016,Sete Homens e um Destino,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,618236.0,9448213.19
2744,2016,Sete Minutos Depois da Meia-noite,Ficção,"Espanha, Estados Unidos",Estrangeira,Diamond Films,Distribuição Nacional,14.0,253.54
2745,2016,"Shaun, o carneiro",Animação,"França, Inglaterra",Estrangeira,Universal,Distribuição Internacional,200.0,3148.56
2746,2016,Sicario: Terra de Ninguém,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,82.0,685.0
2747,2016,Sieranevada,Ficção,"Bósnia-Herzegóvina, Croácia, França, Macedônia, Romênia",Estrangeira,Alphaville Filmes,Distribuição Nacional,3765.0,50566.42
2748,2016,Sinfonia da Necrópole,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,2236.0,28996.57
2749,2016,Sing - Quem canta seus males espanta,Animação,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,1984930.0,26063941.0
2750,2016,"Snoopy & Charlie Brown - Peanuts, o filme",Animação,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,2278477.0,32341778.53
2751,2016,Snowden - Herói ou Traidor,Ficção,"Alemanha, Estados Unidos, França",Estrangeira,Disney,Distribuição Internacional,107679.0,2045018.0
2752,2016,Sob Pressão,Ficção,Brasil,Brasileira,H2O Films,Distribuição Nacional,39237.0,542520.79
2753,2016,Sobre Sete Ondas Verdes Espumantes,Documentário,Brasil,Brasileira,Boulevard Filmes,Distribuição Nacional,57.0,330.0
2754,2016,Sopro,Documentário,Brasil,Brasileira,Lume Produções Cinematográficas,Distribuição Nacional,60.0,478.57
2755,2016,Spotlight - Segredos revelados,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,424520.0,7517025.85
2756,2016,Sr. Holmes,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Sony,Distribuição Internacional,4000.0,54530.98
2757,2016,Star Trek: Sem Fronteiras,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,833246.0,14500551.0
2758,2016,Star Wars: Episódio VII - O despertar da Força,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,1167530.0,20162142.0
2759,2016,Steve Jobs,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,80212.0,1469551.51
2760,2016,Stonewall – Onde o orgulho começou,Ficção,Estados Unidos,Estrangeira,Elite Filmes,Distribuição Nacional,1625.0,23155.59
2761,2016,Straight Outta Compton – A História do N.W.A.,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,12.0,75.0
2762,2016,Sudoeste,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,34.0,246.0
2763,2016,Sully: O Herói do Rio Hudson,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,330379.0,5717956.0
2764,2016,Suíte francesa,Ficção,"Bélgica, Canadá, França, Reino Unido",Estrangeira,Alphaville Filmes,Distribuição Nacional,21603.0,291479.86
2765,2016,São Paulo em Hi-Fi,Documentário,Brasil,Brasileira,Cigano Filmes,Distribuição Nacional,3368.0,33682.11
2766,2016,São Sebastião do Rio de Janeiro - A Formação de uma Cidade,Documentário,Brasil,Brasileira,Bang Filmes,Distribuição Nacional,5080.0,44764.81
2767,2016,Tabu,Ficção,"Brasil, Alemanha, França, Portugal",Brasileira,Espaço Filmes,Distribuição Nacional,161.0,1130.0
2768,2016,Tamo junto,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,84051.0,1028742.48
2769,2016,Tangerine,Ficção,Estados Unidos,Estrangeira,Zeta Filmes,Distribuição Nacional,8041.0,102853.39
2770,2016,"Teobaldo Morto, Romeu Exilado",Ficção,Brasil,Brasileira,Pique-Bandeira Filmes,Distribuição Nacional,473.0,2936.0
2771,2016,Teresinha,Documentário,Brasil,Brasileira,Paris,Distribuição Nacional,1297.0,20568.47
2772,2016,Terra de Maria,Documentário,Espanha,Estrangeira,Cinemark Brasil,Distribuição Nacional,888.0,11201.5
2773,2016,Terra Estranha,Ficção,Austrália,Estrangeira,Imovision,Distribuição Nacional,7456.0,113192.74
2774,2016,Terremoto: A Falha de San Andreas,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,82.0,526.0
2775,2016,Thelma e Louise,Ficção,"Estados Unidos, França",Estrangeira,Cinemark Brasil,Distribuição Nacional,1844.0,17811.0
2776,2016,Tini - Depois de Violetta,Ficção,"Argentina, Espanha, Itália",Estrangeira,Disney,Distribuição Internacional,26421.0,345626.0
2777,2016,Tirando o atraso,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,82757.0,1102559.14
2778,2016,Tomie Ohtake,Documentário,Brasil,Brasileira,Cultura,Distribuição Nacional,55.0,268.0
2779,2016,Toni Erdmann,Ficção,"Áustria, Alemanha",Estrangeira,Sony,Distribuição Internacional,827.0,8599.0
2780,2016,Toro,Ficção,Brasil,Brasileira,Polifilmes,Distribuição Nacional,91.0,589.0
2781,2016,Toy Story,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,1249.0,13084.0
2782,2016,Trago comigo,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,3023.0,36371.93
2783,2016,Trainspotting - Sem Limites,Ficção,Reino Unido,Estrangeira,Cinemark Brasil,Distribuição Nacional,2894.0,28973.4
2784,2016,Transformers: A Era da Extinção,Ficção,"China, Estados Unidos",Estrangeira,Paramount,Distribuição Internacional,39.0,500.0
2785,2016,Travessias,Ficção,Brasil,Brasileira,Tigre Produções Cinematográficas,Distribuição Nacional,16132.0,80640.5
2786,2016,Trolls,Animação,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,1884196.0,26243467.0
2787,2016,Truman,Ficção,"Argentina, Espanha",Estrangeira,Pandora Filmes,Distribuição Nacional,142523.0,2307825.41
2788,2016,Trumbo: Lista Negra,Ficção,Estados Unidos,Estrangeira,Califórnia,Distribuição Nacional,41673.0,704430.15
2789,2016,Truque de Mestre: O Segundo Ato,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,1952009.0,27057508.26
2790,2016,Três Lembranças da Minha Juventude,Ficção,França,Estrangeira,Alphaville Filmes,Distribuição Nacional,502.0,3395.32
2791,2016,Tudo que aprendemos juntos,Ficção,Brasil,Brasileira,Fox,Distribuição Internacional,848.0,8438.0
2792,2016,Tudo sobre Vincent,Ficção,França,Estrangeira,Pandora Filmes,Distribuição Nacional,2764.0,39047.0
2793,2016,Tudo vai ficar bem,Ficção,"Alemanha, Canadá, França, Noruega, Suécia",Estrangeira,Alphaville Filmes,Distribuição Nacional,10373.0,163474.19
2794,2016,Turbulência,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,755.0,8447.6
2795,2016,Táxi Teerã,Ficção,Irã,Estrangeira,Imovision,Distribuição Nacional,3120.0,41131.15
